firstName,lastName,team,week,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct
,,,1,,,,,,,,,,,,
Saquon,Barkley,PHI,1,8,33,4.1,2,100.0%,1,1,100.0%,18,18.0,1,100.0%
Jordan,Mason,SF,1,5,26,5.2,1,100.0%,0,0,0%,0,0,0,0%
Kyren,Williams,LAR,1,4,8,2.0,1,100.0%,1,1,100.0%,8,8.0,0,100.0%
Joe,Mixon,HOU,1,5,15,3.0,1,83.3%,0,0,0%,0,0,0,0%
Jahmyr,Gibbs,DET,1,5,15,3.0,1,55.6%,0,1,0.0%,0,0,0,100.0%
David,Montgomery,DET,1,4,14,3.5,1,44.4%,0,0,0%,0,0,0,0.0%
,,,1,2,13,6.5,1,40.0%,0,0,0%,0,0,0,0%
Jamaal,Williams,NO,1,2,13,6.5,1,33.3%,0,0,0%,0,0,0,0%
Ezekiel,Elliott,DAL,1,1,3,3.0,1,100.0%,1,1,100.0%,9,9.0,0,100.0%
Alvin,Kamara,NO,1,4,10,2.5,1,66.7%,0,0,0%,0,0,0,0%
James,Conner,ARI,1,5,10,2.0,1,83.3%,0,0,0%,0,0,0,0.0%
Zack,Moss,CIN,1,2,10,5.0,1,66.7%,0,0,0%,0,0,0,0%
,,,1,2,7,3.5,1,66.7%,0,0,0%,0,0,0,0%
Isiah,Pacheco,KC,1,2,6,3.0,1,100.0%,0,0,0%,0,0,0,0%
Jonathan,Taylor,IND,1,4,6,1.5,1,100.0%,0,0,0%,0,0,0,0%
Jerome,Ford,CLE,1,2,6,3.0,1,100.0%,0,0,0%,0,0,0,0%
Aaron,Jones,MIN,1,2,5,2.5,1,66.7%,0,0,0%,0,0,0,0.0%
Derrick,Henry,BAL,1,1,5,5.0,1,50.0%,0,0,0%,0,0,0,0.0%
Breece,Hall,NYJ,1,1,3,3.0,1,100.0%,0,0,0%,0,0,0,0%
Rhamondre,Stevenson,NE,1,3,0,0.0,1,60.0%,1,1,100.0%,3,3.0,0,100.0%
Von,Achane,MIA,1,1,1,1.0,1,100.0%,2,2,100.0%,1,0.5,0,100.0%
,,,1,4,14,3.5,1,100.0%,1,1,100.0%,3,3.0,0,100.0%
Rachaad,White,TB,1,3,12,4.0,0,100.0%,1,1,100.0%,4,4.0,0,100.0%
Walker,III,SEA,1,2,6,3.0,0,100.0%,1,2,50.0%,8,8.0,0,100.0%
Javonte,Williams,DEN,1,3,10,3.3,0,75.0%,0,1,0.0%,0,0,0,50.0%
Najee,Harris,PIT,1,5,9,1.8,0,100.0%,0,0,0%,0,0,0,0%
Devin,Singletary,NYG,1,3,9,3.0,0,60.0%,0,0,0%,0,0,0,0%
James,Cook,BUF,1,3,8,2.7,0,60.0%,0,0,0%,0,0,0,0%
Josh,Jacobs,GB,1,5,7,1.4,0,100.0%,0,0,0%,0,0,0,0.0%
Eric,Gray,NYG,1,2,6,3.0,0,40.0%,0,0,0%,0,0,0,0%
Gus,Edwards,LAC,1,3,5,1.7,0,60.0%,0,0,0%,0,0,0,0%
Dameon,Pierce,HOU,1,1,4,4.0,0,16.7%,0,0,0%,0,0,0,0%
Austin,Ekeler,WAS,1,1,4,4.0,0,33.3%,0,0,0%,0,0,0,0%
Bijan,Robinson,ATL,1,1,-3,-3.0,0,100.0%,1,1,100.0%,7,7.0,0,100.0%
Antonio,Gibson,NE,1,2,3,1.5,0,40.0%,0,0,0%,0,0,0,0.0%
Justice,Hill,BAL,1,1,3,3.0,0,50.0%,0,2,0.0%,0,0,0,100.0%
Tony,Pollard,TEN,1,1,3,3.0,0,50.0%,0,0,0%,0,0,0,0%
Trey,Benson,ARI,1,1,3,3.0,0,16.7%,0,0,0%,0,0,0,0.0%
Ty,Chandler,MIN,1,1,-3,-3.0,0,33.3%,1,1,100.0%,5,5.0,0,100.0%
Tyjae,Spears,TEN,1,1,2,2.0,0,50.0%,0,0,0%,0,0,0,0%
Emari,Demercado,ARI,1,0,0,0,0,0.0%,1,1,100.0%,2,2.0,0,100.0%
Emanuel,Wilson,GB,1,0,0,0,0,0.0%,1,1,100.0%,2,2.0,0,100.0%
Ty,Johnson,BUF,1,1,1,1.0,0,20.0%,0,0,0%,0,0,0,0%
Ray,Davis,BUF,1,1,0,0.0,0,20.0%,0,0,0%,0,0,0,0%
Chase,Brown,CIN,1,1,-1,-1.0,0,33.3%,0,0,0%,0,0,0,0%
Jaleel,McLaughlin,DEN,1,1,1,1.0,0,25.0%,1,1,100.0%,-2,-2.0,0,50.0%
,,,2,,,,,,,,,,,,
Alvin,Kamara,NO,2,5,35,7.0,3,62.5%,0,1,0.0%,0,0,0,100.0%
Braelon,Allen,NYJ,2,1,20,20.0,1,50.0%,1,1,100.0%,12,12.0,1,100.0%
James,Cook,BUF,2,1,1,1.0,1,50.0%,1,1,100.0%,17,17.0,1,100.0%
Jordan,Mason,SF,2,6,32,5.3,1,100.0%,0,0,0%,0,0,0,0%
Kyren,Williams,LAR,2,5,15,3.0,1,100.0%,2,3,66.7%,8,4.0,0,100.0%
Rhamondre,Stevenson,NE,2,6,13,2.2,1,85.7%,1,3,33.3%,2,2.0,0,100.0%
David,Montgomery,DET,2,3,11,3.7,1,60.0%,1,1,100.0%,3,3.0,0,20.0%
James,Conner,ARI,2,4,10,2.5,1,80.0%,0,0,0%,0,0,0,0%
Devin,Singletary,NYG,2,2,10,5.0,1,100.0%,0,0,0%,0,0,0,0%
Derrick,Henry,BAL,2,3,7,2.3,1,100.0%,0,0,0%,0,0,0,0%
,,,2,5,6,1.2,1,83.3%,0,1,0.0%,0,0,0,100.0%
Alexander,Mattison,LV,2,2,4,2.0,1,100.0%,0,0,0%,0,0,0,0%
Von,Achane,MIA,2,4,-1,-0.3,0,100.0%,1,1,100.0%,5,5.0,1,100.0%
Zach,Charbonnet,SEA,2,2,3,1.5,1,100.0%,0,0,0%,0,0,0,0%
Khalil,Herbert,CHI,2,1,2,2.0,1,100.0%,0,0,0%,0,0,0,0%
Austin,Ekeler,WAS,2,4,24,6.0,0,50.0%,0,0,0%,0,0,0,0.0%
Saquon,Barkley,PHI,2,5,16,3.2,0,71.4%,1,2,50.0%,4,4.0,0,100.0%
Isiah,Pacheco,KC,2,5,19,3.8,0,71.4%,1,1,100.0%,1,1.0,0,100.0%
Tyler,Allgeier,ATL,2,4,17,4.3,0,80.0%,0,0,0%,0,0,0,0%
Zack,Moss,CIN,2,5,14,2.8,0,100.0%,0,0,0%,0,0,0,0%
Tony,Pollard,TEN,2,2,1,0.5,0,100.0%,1,2,50.0%,11,11.0,0,100.0%
Jamaal,Williams,NO,2,3,11,3.7,0,37.5%,0,0,0%,0,0,0,0.0%
Ty,Chandler,MIN,2,1,11,11.0,0,33.3%,0,0,0%,0,0,0,0.0%
Jaylen,Warren,PIT,2,0,0,0,0,0.0%,1,1,100.0%,7,7.0,0,100.0%
Kenneth,Gainwell,PHI,2,2,6,3.0,0,28.6%,0,0,0%,0,0,0,0.0%
Ernest,Johnson,JAC,2,1,6,6.0,0,16.7%,0,0,0%,0,0,0,0.0%
Aaron,Jones,MIN,2,2,6,3.0,0,66.7%,3,3,100.0%,20,6.7,0,100.0%
Najee,Harris,PIT,2,1,5,5.0,0,100.0%,0,0,0%,0,0,0,0.0%
Trey,Sermon,IND,2,1,4,4.0,0,50.0%,0,0,0%,0,0,0,0%
Antonio,Gibson,NE,2,1,4,4.0,0,14.3%,0,0,0%,0,0,0,0.0%
Breece,Hall,NYJ,2,1,4,4.0,0,50.0%,0,0,0%,0,0,0,0.0%
Trey,Benson,ARI,2,1,3,3.0,0,20.0%,0,0,0%,0,0,0,0%
Deuce,Vaughn,DAL,2,1,3,3.0,0,50.0%,0,0,0%,0,0,0,0.0%
Carson,Steele,KC,2,2,3,1.5,0,28.6%,0,0,0%,0,0,0,0.0%
Javonte,Williams,DEN,2,2,3,1.5,0,100.0%,0,0,0%,0,0,0,0.0%
Tyler,Badie,DEN,2,0,0,0,0,0.0%,1,1,100.0%,2,2.0,0,100.0%
Rachaad,White,TB,2,1,2,2.0,0,100.0%,0,0,0%,0,0,0,0%
Gus,Edwards,LAC,2,1,2,2.0,0,100.0%,0,0,0%,0,0,0,0%
Onta,Foreman,CLE,2,2,2,1.0,0,100.0%,0,0,0%,0,0,0,0%
Ezekiel,Elliott,DAL,2,1,2,2.0,0,50.0%,0,1,0.0%,0,0,0,100.0%
,,,2,4,1,0.3,0,50.0%,0,2,0.0%,0,0,0,100.0%
Joe,Mixon,HOU,2,1,1,1.0,0,50.0%,0,0,0%,0,0,0,0%
Tyjae,Spears,TEN,2,0,0,0,0,0.0%,0,0,0%,0,0,0,0.0%
Jahmyr,Gibbs,DET,2,2,-4,-2.0,0,40.0%,4,4,100.0%,3,0.8,0,80.0%
Bijan,Robinson,ATL,2,1,-1,-1.0,0,20.0%,0,0,0%,0,0,0,0%
Ty,Johnson,BUF,2,1,-1,-1.0,0,50.0%,0,0,0%,0,0,0,0.0%
Jonathan,Taylor,IND,2,1,-3,-3.0,0,50.0%,0,0,0%,0,0,0,0%
Josh,Jacobs,GB,2,2,4,2.0,0,100.0%,0,0,0%,0,0,0,0%
Cam,Akers,MIN,2,1,0,0.0,0,50.0%,0,0,0%,0,0,0,0%
,,,3,,,,,,,,,,,,
Kyren,Williams,LAR,3,10,29,2.9,2,100.0%,1,1,100.0%,15,15.0,1,100.0%
Zach,Charbonnet,SEA,3,3,17,5.7,2,100.0%,0,0,0%,0,0,0,0%
Ty,Johnson,BUF,3,2,17,8.5,0,28.6%,2,2,100.0%,20,10.0,1,100.0%
Chuba,Hubbard,CAR,3,3,6,2.0,0,60.0%,2,2,100.0%,11,5.5,1,100.0%
Trey,Sermon,IND,3,2,16,8.0,1,33.3%,0,0,0%,0,0,0,0%
Aaron,Jones,MIN,3,4,3,0.8,0,80.0%,2,3,66.7%,12,6.0,1,100.0%
David,Montgomery,DET,3,2,15,7.5,1,50.0%,0,0,0%,0,0,0,0%
Breece,Hall,NYJ,3,2,6,3.0,1,66.7%,1,1,100.0%,6,6.0,0,100.0%
James,Cook,BUF,3,4,10,2.5,1,57.1%,0,0,0%,0,0,0,0.0%
Zack,Moss,CIN,3,4,9,2.3,1,80.0%,0,1,0.0%,0,0,0,100.0%
Cam,Akers,MIN,3,0,0,0,0,0%,1,1,100.0%,8,8.0,1,100.0%
Saquon,Barkley,PHI,3,2,4,2.0,1,100.0%,1,1,100.0%,2,2.0,0,100.0%
Devin,Singletary,NYG,3,2,4,2.0,1,100.0%,0,0,0%,0,0,0,0.0%
Jonathan,Taylor,IND,3,4,4,1.0,1,66.7%,0,0,0%,0,0,0,0%
Bijan,Robinson,ATL,3,4,3,0.8,1,66.7%,0,0,0%,0,0,0,0%
Ray,Davis,BUF,3,1,3,3.0,1,14.3%,0,0,0%,0,0,0,0.0%
Jaleel,McLaughlin,DEN,3,2,2,1.0,1,50.0%,0,0,0%,0,0,0,0.0%
Miles,Sanders,CAR,3,2,2,1.0,1,40.0%,0,0,0%,0,0,0,0.0%
Derrick,Henry,BAL,3,2,2,1.0,1,100.0%,0,0,0%,0,0,0,0%
Alexander,Mattison,LV,3,1,2,2.0,1,50.0%,0,0,0%,0,0,0,0%
,,,3,3,1,0.3,1,75.0%,0,0,0%,0,0,0,0%
Carson,Steele,KC,3,6,21,3.5,0,100.0%,1,2,50.0%,2,2.0,0,100.0%
Bucky,Irving,TB,3,1,13,13.0,0,50.0%,0,0,0%,0,0,0,0.0%
Javonte,Williams,DEN,3,2,2,1.0,0,50.0%,1,1,100.0%,11,11.0,0,100.0%
Chase,Brown,CIN,3,1,12,12.0,0,20.0%,0,0,0%,0,0,0,0.0%
Jordan,Mason,SF,3,5,0,0.0,0,100.0%,1,1,100.0%,7,7.0,0,100.0%
Alec,Ingold,MIA,3,0,0,0,0,0.0%,1,1,100.0%,6,6.0,0,50.0%
Zamir,White,LV,3,1,6,6.0,0,50.0%,0,0,0%,0,0,0,0%
,,,3,0,0,0,0,0.0%,1,1,100.0%,5,5.0,0,100.0%
Braelon,Allen,NYJ,3,1,5,5.0,0,33.3%,0,0,0%,0,0,0,0.0%
Roschon,Johnson,CHI,3,2,4,2.0,0,28.6%,0,0,0%,0,0,0,0%
Rachaad,White,TB,3,1,0,0.0,0,50.0%,1,1,100.0%,4,4.0,0,100.0%
Cordarrelle,Patterson,PIT,3,0,0,0,0,0.0%,1,1,100.0%,4,4.0,0,100.0%
Jahmyr,Gibbs,DET,3,2,4,2.0,0,50.0%,0,0,0%,0,0,0,0%
,,,3,1,3,3.0,0,100.0%,0,0,0%,0,0,0,0.0%
Austin,Ekeler,WAS,3,1,3,3.0,0,25.0%,0,0,0%,0,0,0,0%
Khalil,Herbert,CHI,3,3,3,1.0,0,42.9%,0,0,0%,0,0,0,0%
Tony,Pollard,TEN,3,1,2,2.0,0,100.0%,0,0,0%,0,0,0,0%
Ty,Chandler,MIN,3,1,2,2.0,0,20.0%,0,0,0%,0,0,0,0.0%
Najee,Harris,PIT,3,4,2,0.5,0,80.0%,0,0,0%,0,0,0,0.0%
,,,3,2,2,1.0,0,100.0%,0,0,0%,0,0,0,0%
James,Conner,ARI,3,1,2,2.0,0,100.0%,0,0,0%,0,0,0,0%
Alvin,Kamara,NO,3,4,1,0.3,0,80.0%,0,0,0%,0,0,0,0.0%
Tyler,Allgeier,ATL,3,2,1,0.5,0,33.3%,0,0,0%,0,0,0,0%
Von,Achane,MIA,3,2,1,0.5,0,100.0%,0,1,0.0%,0,0,0,50.0%
Jaylen,Warren,PIT,3,1,0,0.0,0,20.0%,0,0,0%,0,0,0,0.0%
Josh,Jacobs,GB,3,3,0,0.0,0,75.0%,0,0,0%,0,0,0,0%
Ernest,Johnson,JAC,3,0,0,0,0,0.0%,0,1,0.0%,0,0,0,100.0%
Emanuel,Wilson,GB,3,1,0,0.0,0,25.0%,0,0,0%,0,0,0,0%
Rico,Dowdle,DAL,3,0,0,0,0,0%,0,0,0%,0,0,0,0%
Jamaal,Williams,NO,3,1,-1,-1.0,0,20.0%,0,1,0.0%,0,0,0,100.0%
Andre,Swift,CHI,3,2,-8,-4.0,0,28.6%,0,0,0%,0,0,0,0%
,,,4,,,,,,,,,,,,
Jahmyr,Gibbs,DET,4,5,17,3.4,2,55.6%,0,0,0%,0,0,0,0%
Chase,Brown,CIN,4,3,4,1.3,2,75.0%,1,2,50.0%,8,8.0,0,66.7%
Walker,III,SEA,4,2,2,1.0,2,100.0%,0,0,0%,0,0,0,0%
Justice,Hill,BAL,4,0,0,0,0,0.0%,2,2,100.0%,33,16.5,1,66.7%
Jordan,Mason,SF,4,6,16,2.7,1,100.0%,1,1,100.0%,13,13.0,0,100.0%
Jonathan,Taylor,IND,4,6,28,4.7,1,75.0%,0,0,0%,0,0,0,0%
Chuba,Hubbard,CAR,4,6,24,4.0,1,100.0%,0,0,0%,0,0,0,0%
James,Conner,ARI,4,5,19,3.8,1,100.0%,0,0,0%,0,0,0,0%
Rico,Dowdle,DAL,4,1,2,2.0,0,100.0%,1,1,100.0%,15,15.0,1,100.0%
Kyren,Williams,LAR,4,4,12,3.0,1,80.0%,1,1,100.0%,2,2.0,0,100.0%
Bucky,Irving,TB,4,5,13,2.6,1,100.0%,0,0,0%,0,0,0,0%
,,,4,2,7,3.5,1,50.0%,1,1,100.0%,3,3.0,0,100.0%
Jeremy,McNichols,WAS,4,2,10,5.0,1,50.0%,0,0,0%,0,0,0,0.0%
Tony,Pollard,TEN,4,5,9,1.8,1,71.4%,0,0,0%,0,0,0,0%
Dare,Ogunbowale,HOU,4,2,7,3.5,0,28.6%,1,1,100.0%,1,1.0,1,100.0%
Tyjae,Spears,TEN,4,2,7,3.5,1,28.6%,0,0,0%,0,0,0,0%
Roschon,Johnson,CHI,4,2,6,3.0,1,66.7%,0,0,0%,0,0,0,0%
