firstName,lastName,team,week,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct
,,,1,,,,,,,
Chig,Okonkwo,TEN,1,1,1,100.0%,17,17.0,1,100.0%
Juwan,Johnson,NO,1,1,1,100.0%,16,16.0,1,50.0%
Kyle,Pitts,ATL,1,1,1,100.0%,12,12.0,1,100.0%
Foster,Moreau,NO,1,1,1,100.0%,3,3.0,1,50.0%
Noah,Gray,KC,1,1,1,100.0%,13,13.0,0,50.0%
Isaiah,Likely,BAL,1,1,3,33.3%,9,9.0,0,100.0%
Tucker,Kraft,GB,1,1,2,50.0%,8,8.0,0,100.0%
Trey,McBride,ARI,1,1,1,100.0%,7,7.0,0,100.0%
Cole,Kmet,CHI,1,1,1,100.0%,4,4.0,0,100.0%
Daniel,Bellinger,NYG,1,1,1,100.0%,3,3.0,0,100.0%
Brock,Wright,DET,1,1,1,100.0%,2,2.0,0,50.0%
Noah,Fant,SEA,1,0,1,0.0%,0,0,0,100.0%
Hayden,Hurst,LAC,1,0,1,0.0%,0,0,0,100.0%
Hunter,Henry,NE,1,0,1,0.0%,0,0,0,100.0%
Jake,Ferguson,DAL,1,0,1,0.0%,0,0,0,100.0%
Kylen,Granson,IND,1,0,1,0.0%,0,0,0,50.0%
Sam,LaPorta,DET,1,0,1,0.0%,0,0,0,50.0%
Davis,Allen,LAR,1,0,1,0.0%,0,0,0,100.0%
Mike,Gesicki,CIN,1,0,1,0.0%,0,0,0,50.0%
,,,1,0,1,0.0%,0,0,0,50.0%
Dalton,Kincaid,BUF,1,0,1,0.0%,0,0,0,100.0%
Travis,Kelce,KC,1,0,1,0.0%,0,0,0,50.0%
Tanner,Hudson,CIN,1,1,1,100.0%,13,13.0,0,50.0%
,,,2,,,,,,,
Elijah,Higgins,ARI,2,1,1,100.0%,18,18.0,1,100.0%
George,Kittle,SF,2,2,2,100.0%,10,5.0,1,100.0%
Darnell,Washington,PIT,2,1,1,100.0%,5,5.0,1,50.0%
Dalton,Schultz,HOU,2,1,1,100.0%,16,16.0,0,100.0%
Pat,Freiermuth,PIT,2,1,1,100.0%,14,14.0,0,50.0%
Brock,Bowers,LV,2,1,1,100.0%,11,11.0,0,100.0%
Durham,Smythe,MIA,2,1,1,100.0%,8,8.0,0,25.0%
Jonnu,Smith,MIA,2,1,1,100.0%,7,7.0,0,25.0%
Travis,Kelce,KC,2,0,1,0.0%,0,0,0,100.0%
Julian,Hill,MIA,2,0,2,0.0%,0,0,0,50.0%
Brady,Russell,SEA,2,0,0,0%,0,0,0,0%
Brenton,Strange,JAC,2,0,1,0.0%,0,0,0,100.0%
Jeremy,Ruckert,NYJ,2,0,1,0.0%,0,0,0,100.0%
Cade,Otton,TB,2,0,1,0.0%,0,0,0,100.0%
Greg,Dulcich,DEN,2,0,1,0.0%,0,0,0,100.0%
Kylen,Granson,IND,2,0,1,0.0%,0,0,0,100.0%
Trey,McBride,ARI,2,0,0,0%,0,0,0,0.0%
Hunter,Henry,NE,2,0,1,0.0%,0,0,0,100.0%
Kyle,Pitts,ATL,2,0,1,0.0%,0,0,0,100.0%
Colby,Parkinson,LAR,2,0,1,0.0%,0,0,0,100.0%
Mike,Gesicki,CIN,2,0,1,0.0%,0,0,0,100.0%
Dallas,Goedert,PHI,2,0,1,0.0%,0,0,0,100.0%
,,,2,0,1,0.0%,0,0,0,100.0%
,,,3,,,,,,,
Cole,Kmet,CHI,3,3,3,100.0%,18,6.0,1,75.0%
Brenton,Strange,JAC,3,1,1,100.0%,6,6.0,1,50.0%
Dalton,Kincaid,BUF,3,1,2,50.0%,6,6.0,1,66.7%
Johnny,Mundt,MIN,3,1,2,50.0%,2,2.0,1,100.0%
Nick,Vannett,TEN,3,1,1,100.0%,1,1.0,1,50.0%
Julian,Hill,MIA,3,1,1,100.0%,11,11.0,0,33.3%
Josiah,Deguara,JAC,3,1,1,100.0%,8,8.0,0,50.0%
Josh,Whyle,TEN,3,1,1,100.0%,7,7.0,0,50.0%
Tanner,Conner,MIA,3,1,1,100.0%,1,1.0,0,33.3%
Dawson,Knox,BUF,3,0,1,0.0%,0,0,0,33.3%
Tyler,Conklin,NYJ,3,0,1,0.0%,0,0,0,100.0%
Colby,Parkinson,LAR,3,0,1,0.0%,0,0,0,100.0%
Gerald,Everett,CHI,3,0,1,0.0%,0,0,0,25.0%
Kyle,Pitts,ATL,3,0,1,0.0%,0,0,0,100.0%
Michael,Mayer,LV,3,0,1,0.0%,0,0,0,100.0%
Theo,Johnson,NYG,3,0,1,0.0%,0,0,0,100.0%
Durham,Smythe,MIA,3,0,1,0.0%,0,0,0,33.3%
Luke,Schoonmaker,DAL,3,0,1,0.0%,0,0,0,100.0%
Dallas,Goedert,PHI,3,0,0,0%,0,0,0,0%
Noah,Gray,KC,3,0,1,0.0%,0,0,0,100.0%
Cade,Otton,TB,3,1,1,100.0%,3,3.0,0,100.0%
,,,4,,,,,,,
Taysom,Hill,NO,4,0,0,0%,0,0,0,0%
Drew,Ogletree,IND,4,1,1,100.0%,15,15.0,1,100.0%
Tucker,Kraft,GB,4,2,2,100.0%,14,7.0,1,100.0%
George,Kittle,SF,4,1,1,100.0%,12,12.0,1,100.0%
AJ,Barner,SEA,4,1,1,100.0%,9,9.0,1,100.0%
Blake,Whiteheart,CLE,4,2,2,100.0%,8,4.0,1,100.0%
Pat,Freiermuth,PIT,4,1,1,100.0%,8,8.0,1,100.0%
Austin,Hooper,NE,4,1,1,100.0%,5,5.0,1,50.0%
Josh,Oliver,MIN,4,1,1,100.0%,2,2.0,1,100.0%
Sam,LaPorta,DET,4,1,1,100.0%,13,13.0,0,50.0%
Brock,Wright,DET,4,1,1,100.0%,10,10.0,0,50.0%
Dallas,Goedert,PHI,4,1,1,100.0%,9,9.0,0,100.0%
Colby,Parkinson,LAR,4,1,2,50.0%,7,7.0,0,100.0%
Dalton,Schultz,HOU,4,1,1,100.0%,6,6.0,0,100.0%
Tavion,Sanders,CAR,4,1,1,100.0%,5,5.0,0,100.0%
Hunter,Henry,NE,4,1,1,100.0%,4,4.0,0,50.0%
Cade,Otton,TB,4,1,1,100.0%,4,4.0,0,100.0%
Chig,Okonkwo,TEN,4,0,1,0.0%,0,0,0,100.0%
Hayden,Hurst,LAC,4,0,1,0.0%,0,0,0,100.0%
Zach,Ertz,WAS,4,0,0,0%,0,0,0,0%
,,,5,,,,,,,
Isaiah,Likely,BAL,5,2,2,100.0%,7,3.5,2,50.0%
George,Kittle,SF,5,5,6,83.3%,24,4.8,1,100.0%
,,,5,1,3,33.3%,18,18.0,1,100.0%
Connor,Heyward,PIT,5,1,1,100.0%,16,16.0,1,33.3%
Jordan,Akins,CLE,5,1,1,100.0%,10,10.0,1,100.0%
Tucker,Kraft,GB,5,1,1,100.0%,7,7.0,1,100.0%
Foster,Moreau,NO,5,1,1,100.0%,6,6.0,1,100.0%
Pat,Freiermuth,PIT,5,2,2,100.0%,5,2.5,1,66.7%
Brenton,Strange,JAC,5,1,1,100.0%,4,4.0,1,33.3%
Elijah,Higgins,ARI,5,1,1,100.0%,2,2.0,1,33.3%
Charlie,Kolar,BAL,5,1,1,100.0%,2,2.0,1,25.0%
Travis,Kelce,KC,5,3,3,100.0%,22,7.3,0,75.0%
Noah,Gray,KC,5,1,1,100.0%,15,15.0,0,25.0%
Mark,Andrews,BAL,5,1,1,100.0%,13,13.0,0,25.0%
Brock,Bowers,LV,5,1,2,50.0%,8,8.0,0,100.0%
Cade,Otton,TB,5,1,1,100.0%,7,7.0,0,100.0%
Hunter,Henry,NE,5,1,2,50.0%,7,7.0,0,50.0%
Luke,Farrell,JAC,5,1,1,100.0%,6,6.0,0,33.3%
Zach,Ertz,WAS,5,1,4,25.0%,3,3.0,0,100.0%
Josiah,Deguara,JAC,5,1,1,100.0%,2,2.0,0,33.3%
Tyler,Conklin,NYJ,5,1,1,100.0%,2,2.0,0,100.0%
Trey,McBride,ARI,5,0,2,0.0%,0,0,0,66.7%
Colby,Parkinson,LAR,5,0,2,0.0%,0,0,0,100.0%
Tavion,Sanders,CAR,5,0,1,0.0%,0,0,0,100.0%
Austin,Hooper,NE,5,0,2,0.0%,0,0,0,50.0%
Julian,Hill,MIA,5,0,0,0%,0,0,0,0%
,,,6,,,,,,,
George,Kittle,SF,6,2,2,100.0%,19,9.5,2,100.0%
Mark,Andrews,BAL,6,1,2,50.0%,13,13.0,1,66.7%
Dawson,Knox,BUF,6,1,1,100.0%,12,12.0,1,100.0%
Cade,Otton,TB,6,1,2,50.0%,8,8.0,1,100.0%
Hunter,Henry,NE,6,1,1,100.0%,6,6.0,1,100.0%
Cole,Kmet,CHI,6,1,1,100.0%,2,2.0,1,100.0%
Zach,Ertz,WAS,6,1,1,100.0%,12,12.0,0,100.0%
,,,6,2,2,100.0%,10,5.0,0,100.0%
Brock,Bowers,LV,6,1,1,100.0%,8,8.0,0,100.0%
Jake,Ferguson,DAL,6,2,2,100.0%,7,3.5,0,100.0%
,,,6,1,1,100.0%,6,6.0,0,50.0%
Drew,Ogletree,IND,6,1,1,100.0%,2,2.0,0,50.0%
Ian,Thomas,CAR,6,0,1,0.0%,0,0,0,50.0%
Tyler,Conklin,NYJ,6,0,1,0.0%,0,0,0,100.0%
Will,Dissly,LAC,6,1,1,100.0%,0,0.0,0,100.0%
Evan,Engram,JAC,6,0,0,0%,0,0,0,0.0%
Kyle,Pitts,ATL,6,0,1,0.0%,0,0,0,100.0%
David,Njoku,CLE,6,0,1,0.0%,0,0,0,100.0%
Isaiah,Likely,BAL,6,0,1,0.0%,0,0,0,33.3%
Daniel,Bellinger,NYG,6,0,0,0%,0,0,0,0%
Tavion,Sanders,CAR,6,0,1,0.0%,0,0,0,50.0%
Connor,Heyward,PIT,6,0,0,0%,0,0,0,0%
Brenton,Strange,JAC,6,0,1,0.0%,0,0,0,100.0%
,,,7,,,,,,,
Mark,Andrews,BAL,7,2,2,100.0%,13,6.5,2,40.0%
Zach,Ertz,WAS,7,2,2,100.0%,18,9.0,1,66.7%
Tucker,Kraft,GB,7,1,1,100.0%,14,14.0,1,100.0%
Jonnu,Smith,MIA,7,1,1,100.0%,10,10.0,1,100.0%
David,Njoku,CLE,7,1,3,33.3%,8,8.0,1,100.0%
Ben,Sinnott,WAS,7,1,1,100.0%,3,3.0,1,33.3%
Tyler,Conklin,NYJ,7,1,1,100.0%,1,1.0,1,100.0%
Cade,Otton,TB,7,1,1,100.0%,13,13.0,0,100.0%
Isaiah,Likely,BAL,7,1,3,33.3%,10,10.0,0,60.0%
George,Kittle,SF,7,1,1,100.0%,9,9.0,0,100.0%
Trey,McBride,ARI,7,1,1,100.0%,3,3.0,0,100.0%
Will,Dissly,LAC,7,0,1,0.0%,0,0,0,100.0%
Austin,Hooper,NE,7,0,1,0.0%,0,0,0,100.0%
Adam,Trautman,DEN,7,0,1,0.0%,0,0,0,100.0%
Brock,Bowers,LV,7,1,3,33.3%,0,0.0,0,100.0%
Dalton,Kincaid,BUF,7,0,1,0.0%,0,0,0,50.0%
Dawson,Knox,BUF,7,0,1,0.0%,0,0,0,50.0%
Nick,Vannett,TEN,7,1,1,100.0%,-1,-1.0,0,100.0%
,,,8,,,,,,,
Josh,Oliver,MIN,8,1,1,100.0%,5,5.0,1,100.0%
