season,seasonType,firstName,lastName,position,teamName,Rushing Attempts,Rushing Yards,Yards per Rush,Longest Rush,20plus Yard Rushes,Rushing Yards per Game,20plus_pct
2024,2,J.K.,Dobbins,Running Back,Chargers,27,266,9.9,61,3,133.0,0.11
2024,2,Kyler,Murray,Quarterback,Cardinals,10,116,11.6,29,2,58.0,0.2
2024,2,Anthony,Richardson,Quarterback,Colts,10,93,9.3,21,1,46.5,0.1
2024,2,Will,Levis,Quarterback,Titans,8,74,9.3,21,1,37.0,0.12
2024,2,Jayden,Reed,Wide Receiver,Packers,3,70,23.3,33,2,35.0,0.67
2024,2,Bo,Nix,Quarterback,Broncos,9,60,6.7,23,1,30.0,0.11
2024,2,Caleb,Williams,Quarterback,Bears,10,59,5.9,24,1,29.5,0.1
2024,2,Trevor,Lawrence,Quarterback,Jaguars,3,53,17.7,33,1,26.5,0.33
2024,2,Emari,Demercado,Running Back,Cardinals,2,46,23.0,41,1,23.0,0.5
2024,2,Geno,Smith,Quarterback,Seahawks,9,38,4.2,34,1,19.0,0.11
2024,2,Xavier,Worthy,Wide Receiver,Chiefs,2,26,13.0,21,1,13.0,0.5
2023,2,Keaton,Mitchell,Running Back,Ravens,47,396,8.4,60,7,49.5,0.15
2023,2,Jayden,Reed,Wide Receiver,Packers,11,119,10.8,32,3,7.4,0.27
2023,2,KaVontae,Turpin,Wide Receiver,Cowboys,11,110,10.0,46,2,6.9,0.18
2023,2,Chris,Brooks,Running Back,Dolphins,19,106,5.6,52,2,11.8,0.11
2023,2,Wan'Dale,Robinson,Wide Receiver,Giants,9,87,9.7,32,2,5.8,0.22
2023,2,Tre,Tucker,Wide Receiver,Raiders,10,77,7.7,34,1,4.8,0.1
2023,2,Kalif,Raymond,Wide Receiver,Lions,7,75,10.7,40,1,4.4,0.14
2023,2,Ihmir,Smith-Marsette,Wide Receiver,Panthers,8,74,9.3,20,1,4.4,0.12
2023,2,Zay,Flowers,Wide Receiver,Ravens,8,56,7.0,37,1,3.5,0.12
2023,2,Tyquan,Thornton,Wide Receiver,Patriots,3,51,17.0,39,1,5.7,0.33
2023,2,Blaine,Gabbert,Quarterback,Chiefs,7,45,6.4,25,1,22.5,0.14
2023,2,DeMario,Douglas,Wide Receiver,Patriots,8,41,5.1,20,1,2.9,0.12
2023,2,Chris,Moore,Wide Receiver,Titans,2,39,19.5,38,1,2.3,0.5
2023,2,Marquise,Goodwin,Wide Receiver,Browns,4,33,8.3,20,1,2.8,0.25
2023,2,Lynn,Bowden Jr.,Wide Receiver,Saints,5,32,6.4,29,1,2.1,0.2
2023,2,Brandon,Bolden,Running Back,Raiders,4,31,7.8,26,1,1.8,0.25
2023,2,Tutu,Atwell,Wide Receiver,Rams,5,31,6.2,22,1,1.9,0.2
2023,2,Derrick,Gore,Running Back,Commanders,3,26,8.7,23,1,4.3,0.33
2023,2,Demarcus,Robinson,Wide Receiver,Rams,1,23,23.0,23,1,1.4,1.0
2023,2,Hollywood,Brown,Wide Receiver,Cardinals,2,23,11.5,29,1,1.6,0.5
2022,2,Velus,Jones Jr.,Wide Receiver,Bears,9,103,11.4,42,1,8.6,0.11
2022,2,Pierre,Strong Jr.,Running Back,Patriots,10,100,10.0,44,1,6.7,0.1
2022,2,Amon-Ra,St. Brown,Wide Receiver,Lions,9,95,10.6,58,1,5.9,0.11
2022,2,Braxton,Berrios,Wide Receiver,Jets,9,91,10.1,25,2,5.4,0.22
2022,2,Kadarius,Toney,Wide Receiver,Chiefs,7,82,11.7,32,1,9.1,0.14
2022,2,Christian,Watson,Wide Receiver,Packers,7,80,11.4,46,1,5.7,0.14
2022,2,Ray-Ray,McCloud III,Wide Receiver,49ers,4,78,19.5,71,1,4.6,0.25
2022,2,Tyrod,Taylor,Quarterback,Giants,5,70,14.0,32,1,23.3,0.2
2022,2,Laviska,Shenault Jr.,Wide Receiver,Panthers,9,65,7.2,41,1,5.0,0.11
2022,2,Parris,Campbell,Wide Receiver,Colts,5,58,11.6,28,2,3.4,0.4
2022,2,Rashid,Shaheed,Wide Receiver,Saints,4,57,14.3,44,1,4.8,0.25
2022,2,Anthony,Schwartz,Wide Receiver,Browns,4,57,14.3,31,1,5.2,0.25
2022,2,C.J.,Moore,Safety,Lions,2,55,27.5,42,1,5.0,0.5
2022,2,Equanimeous,St. Brown,Wide Receiver,Bears,6,54,9.0,41,1,3.4,0.17
2022,2,Cooper,Kupp,Wide Receiver,Rams,9,52,5.8,20,1,5.8,0.11
2022,2,Treylon,Burks,Wide Receiver,Titans,4,47,11.8,20,1,4.3,0.25
2022,2,Greg,Dortch,Wide Receiver,Cardinals,7,44,6.3,20,1,2.8,0.14
2022,2,Jameson,Williams,Wide Receiver,Lions,1,40,40.0,40,1,6.7,1.0
2022,2,Kendrick,Bourne,Wide Receiver,Patriots,6,39,6.5,29,1,2.4,0.17
2022,2,PJ,Walker,Quarterback,Panthers,6,39,6.5,20,1,6.5,0.17
2022,2,Dante,Pettis,Wide Receiver,Bears,2,37,18.5,29,1,2.2,0.5
2022,2,Mecole,Hardman,Wide Receiver,Chiefs,4,31,7.8,25,1,3.9,0.25
2022,2,Connor,Heyward,Tight End,Steelers,2,27,13.5,21,1,1.6,0.5
2022,2,Armani,Rogers,Tight End,Commanders,2,26,13.0,24,1,2.4,0.5
2022,2,George,Pickens,Wide Receiver,Steelers,3,24,8.0,22,1,1.4,0.33
2021,2,Zach,Wilson,Quarterback,Jets,29,185,6.4,52,3,14.2,0.1
2021,2,Travis,Homer,Running Back,Seahawks,21,177,8.4,73,2,12.6,0.1
2021,2,Tyrod,Taylor,Quarterback,Texans,19,151,7.9,30,2,25.2,0.11
2021,2,Tyreek,Hill,Wide Receiver,Chiefs,9,96,10.7,33,1,5.6,0.11
2021,2,DeAndre,Carter,Wide Receiver,Unknown,10,89,8.9,27,1,5.2,0.1
2021,2,CeeDee,Lamb,Wide Receiver,Cowboys,9,76,8.4,33,1,4.8,0.11
2021,2,Jake,Fromm,Quarterback,Giants,8,65,8.1,27,1,21.7,0.12
2021,2,Amon-Ra,St. Brown,Wide Receiver,Lions,7,61,8.7,26,1,3.6,0.14
2021,2,Dee,Eskridge,Wide Receiver,Seahawks,4,59,14.8,30,1,5.9,0.25
2021,2,Mason,Rudolph,Quarterback,Steelers,5,53,10.6,26,1,26.5,0.2
2021,2,Drew,Lock,Quarterback,Broncos,10,53,5.3,23,1,8.8,0.1
2021,2,Diontae,Johnson,Wide Receiver,Steelers,5,53,10.6,25,1,3.3,0.2
2021,2,Mecole,Hardman,Wide Receiver,Chiefs,8,46,5.8,24,1,2.7,0.12
2021,2,Michael,Pittman Jr.,Wide Receiver,Colts,5,44,8.8,25,1,2.6,0.2
2021,2,Scotty,Miller,Wide Receiver,Buccaneers,2,43,21.5,33,1,4.8,0.5
2021,2,Deonte,Harty,Wide Receiver,Saints,5,41,8.2,22,1,3.2,0.2
2021,2,Jalen,Richard,Running Back,Raiders,9,40,4.4,23,1,4.0,0.11
2021,2,Robbie,Chosen,Wide Receiver,Panthers,3,36,12.0,30,1,2.1,0.33
2021,2,Jalen,Guyton,Wide Receiver,Chargers,7,34,4.9,21,1,2.1,0.14
2021,2,C.J.,Ham,Fullback,Vikings,7,34,4.9,30,1,2.0,0.14
2021,2,Ashton,Dulin,Wide Receiver,Colts,3,32,10.7,37,1,1.9,0.33
2021,2,Emmanuel,Sanders,Wide Receiver,Bills,2,31,15.5,24,1,2.2,0.5
2021,2,C.J.,Moore,Safety,Lions,1,28,28.0,28,1,1.6,1.0
2021,2,Greg,Dortch,Wide Receiver,Cardinals,1,24,24.0,24,1,4.8,1.0
2021,2,Jason,Cabinda,Fullback,Lions,3,23,7.7,21,1,1.6,0.33
2020,2,Tyreek,Hill,Wide Receiver,Chiefs,13,123,9.5,32,3,8.2,0.23
2020,2,Marcus,Mariota,Quarterback,Raiders,9,88,9.8,26,1,88.0,0.11
2020,2,Brandon,Aiyuk,Wide Receiver,49ers,6,77,12.8,38,1,6.4,0.17
2020,2,Odell,Beckham Jr.,Wide Receiver,Browns,3,72,24.0,50,2,10.3,0.67
2020,2,T.J.,Yeldon,Running Back,Bills,10,70,7.0,34,1,23.3,0.1
2020,2,Devin,Duvernay,Wide Receiver,Ravens,4,70,17.5,42,2,4.4,0.5
2020,2,Ray-Ray,McCloud III,Wide Receiver,Steelers,4,65,16.3,58,1,4.1,0.25
2020,2,Deonte,Harty,Wide Receiver,Saints,6,51,8.5,23,1,5.7,0.17
2020,2,Sterling,Shepard,Wide Receiver,Giants,6,49,8.2,23,1,4.1,0.17
2020,2,Tyler,Boyd,Wide Receiver,Bengals,5,49,9.8,25,1,3.3,0.2
2020,2,Shawn,Williams,Safety,Bengals,2,46,23.0,39,1,3.5,0.5
2020,2,Artavis,Pierce,Running Back,Bears,6,34,5.7,23,1,6.8,0.17
2020,2,Mecole,Hardman,Wide Receiver,Chiefs,4,31,7.8,20,1,1.9,0.25
2020,2,Terry,McLaurin,Wide Receiver,Unknown,2,30,15.0,27,1,2.0,0.5
2020,2,Jeremy,Chinn,Safety,Panthers,2,29,14.5,28,1,1.9,0.5
2020,2,Michael,Pittman Jr.,Wide Receiver,Colts,3,26,8.7,21,1,2.0,0.33
2020,2,Clayton,Fejedelem,Safety,Dolphins,2,23,11.5,22,1,1.8,0.5
2020,2,Julian,Edelman,Wide Receiver,Patriots,2,22,11.0,23,1,3.7,0.5
2020,2,DJ,Moore,Wide Receiver,Panthers,2,22,11.0,21,1,1.5,0.5
2020,2,Antonio,Gandy-Golden,Tight End,Unknown,1,22,22.0,22,1,3.7,1.0
2020,2,Jakeem,Grant Sr.,Wide Receiver,Dolphins,3,20,6.7,29,1,1.4,0.33
