FirstName,LastName,Team,Position,This Week,Last Week,Difference
Kevin,Harris,NE,RB,"$4,000","$4,000",0
Eric,Gray,NYG,RB,"$5,000","$4,700",+300
Austin,Jones,WAS,RB,"$4,000","$4,000",0
Breece,Hall,NYJ,RB,"$7,600","$8,000",-400
Aidan,Robbins,CLE,RB,"$4,000","$4,000",0
Zonovan,Knight,DET,RB,"$4,000","$4,000",0
Jawhar,Jordan,HOU,RB,"$4,000","$4,000",0
Walker,III,SEA,RB,"$7,500","$7,300",+200
Zach,Charbonnet,SEA,RB,"$5,300","$5,600",-300
Noah,Cain,CIN,RB,"$4,000","$4,000",0
Mahn,Davis,BUF,RB,"$5,400","$5,700",-300
Kairee,Robinson,SEA,RB,"$4,000","$4,000",0
Sincere,McCormick,LV,RB,"$4,000","$4,000",0
Nichols,III,PHI,RB,"$4,000","$4,000",0
Craig,Reynolds,DET,RB,"$4,200","$4,300",-100
Kyren,Williams,LAR,RB,"$8,600",-,-
Tyler,Goodson,IND,RB,"$5,100","$4,700",+400
Tyjae,Spears,TEN,RB,"$5,600","$5,700",-100
Kenny,McIntosh,SEA,RB,"$4,200","$4,300",-100
Keilan,Robinson,JAC,RB,"$4,000","$4,000",0
Evan,Hull,IND,RB,"$4,000","$4,200",-200
Rhamondre,Stevenson,NE,RB,"$6,800","$6,800",0
Jaylen,Warren,PIT,RB,"$5,500","$5,300",+200
Michael,Wiley,WAS,RB,"$4,000","$4,000",0
Isaiah,Spiller,LAC,RB,"$4,000","$4,000",0
George,Holani,SEA,RB,"$4,000","$4,000",0
Terrell,Jennings,NE,RB,"$4,000","$4,000",0
Jase,McClellan,ATL,RB,"$4,000","$4,000",0
Kendall,Milton,CIN,RB,"$4,000","$4,000",0
MarShawn,Lloyd,GB,RB,"$4,000","$4,000",0
Kendre,Miller,NO,RB,"$4,000","$4,000",0
Ellis,Merriweather,GB,RB,"$4,000","$4,000",0
Kimani,Vidal,LAC,RB,"$5,000","$4,000","+1,000"
Tank,Bigsby,JAC,RB,"$5,800","$6,000",-200
Israel,Abanikanda,NYJ,RB,"$4,000","$4,000",0
Jahmyr,Gibbs,DET,RB,"$7,800","$7,800",0
James,Robinson,NO,RB,"$4,100","$4,400",-300
Zach,Evans,LAR,RB,"$4,000",-,-
Daijun,Edwards,PIT,RB,"$4,000","$4,000",0
Emani,Bailey,KC,RB,"$4,000",-,-
Keaton,Mitchell,BAL,RB,"$4,000","$4,000",0
DeWayne,McBride,MIN,RB,"$4,000",-,-
Bijan,Robinson,ATL,RB,"$8,200","$8,500",-300
Sean,Tucker,TB,RB,"$5,200","$4,200","+1,000"
Rasheen,Ali,BAL,RB,"$4,000","$4,000",0
Rachaad,White,TB,RB,"$6,300","$6,300",0
Blake,Corum,LAR,RB,"$4,700",-,-
Dillon,Johnson,CAR,RB,"$4,000","$4,000",0
Von,Achane,MIA,RB,"$6,900",-,-
Jabari,Small,TEN,RB,"$4,000","$4,000",0
Trey,Benson,ARI,RB,"$4,400","$4,500",-100
Jaleel,McLaughlin,DEN,RB,"$5,000","$5,200",-200
Nick,Bellore,WAS,RB,"$4,000","$4,000",0
Nate,McCrary,GB,RB,"$4,000","$4,000",0
Jaylen,Wright,MIA,RB,"$5,200",-,-
Will,Shipley,PHI,RB,"$4,300","$4,400",-100
Bucky,Irving,TB,RB,"$6,400","$5,700",+700
Carson,Steele,KC,RB,"$4,900",-,-
Audric,Estime,DEN,RB,"$4,100","$4,000",+100
Braelon,Allen,NYJ,RB,"$6,000","$6,200",-200
Jonathon,Brooks,CAR,RB,"$5,000","$5,000",0
Isaiah,Davis,NYJ,RB,"$4,600","$4,200",+400
Cody,Schrader,LAR,RB,"$4,000",-,-
Sione,Vaki,DET,RB,"$4,000","$4,000",0
Julius,Chestnut,TEN,RB,"$4,500","$4,000",+500
Aaron,Shampklin,PIT,RB,"$4,200","$4,000",+200
Ramon,Jefferson,TB,RB,"$4,000","$4,000",0
Dante,Miller,NYG,RB,"$4,000","$4,000",0
Jacob,Saylors,CLE,RB,"$4,000","$4,000",0
Emanuel,Wilson,GB,RB,"$5,400","$5,200",+200
Elijah,Dotson,LAC,RB,"$4,000","$4,000",0
Dylan,Laube,LV,RB,"$4,000","$4,000",0
Jalen,Jackson,JAC,RB,"$4,000","$4,000",0
Chris,Collier,BAL,RB,"$4,000","$4,000",0
Jaden,Shirden,CAR,RB,"$4,000","$4,000",0
Michael,Burton,DEN,RB,"$4,100","$4,200",-100
Ameer,Abdullah,LV,RB,"$4,700","$4,800",-100
Raheem,Mostert,MIA,RB,"$6,300",-,-
Dare,Ogunbowale,HOU,RB,"$4,800","$5,400",-600
Cordarrelle,Patterson,PIT,RB,"$4,800","$4,800",0
Derrick,Henry,BAL,RB,"$9,300","$9,100",+200
Kyle,Juszczyk,SF,RB,"$4,400","$4,100",+300
Gus,Edwards,LAC,RB,"$5,000","$5,100",-100
Aaron,Jones,MIN,RB,"$7,200",-,-
James,Conner,ARI,RB,"$7,700","$8,000",-300
Alvin,Kamara,NO,RB,"$8,500","$8,800",-300
Boston,Scott,PIT,RB,"$4,000","$4,000",0
Kareem,Hunt,KC,RB,"$7,700",-,-
Jamaal,Williams,NO,RB,"$5,100","$5,300",-200
Jakob,Johnson,NYG,RB,"$4,000","$4,000",0
Joe,Mixon,HOU,RB,"$8,400","$8,300",+100
Samaje,Perine,KC,RB,"$5,200",-,-
Matt,Breida,SF,RB,"$4,000","$4,000",0
Nick,Chubb,CLE,RB,"$6,800","$6,200",+600
Nick,Bawden,HOU,RB,"$4,000","$4,000",0
Christian,McCaffrey,SF,RB,"$4,000","$4,000",0
Onta,Foreman,CLE,RB,"$5,400","$5,100",+300
Royce,Freeman,CLE,RB,"$4,000","$4,000",0
Jeremy,McNichols,WAS,RB,"$5,500","$5,000",+500
Ernest,Johnson,JAC,RB,"$4,400","$4,300",+100
Mike,Boone,CAR,RB,"$4,000","$4,000",0
Myles,Gaskin,MIN,RB,"$4,400",-,-
Ty,Johnson,BUF,RB,"$5,700","$5,200",+500
Shawn,Vaughn,SF,RB,"$4,000","$4,000",0
Nyheim,Hines,CLE,RB,"$4,000","$4,000",0
Alec,Ingold,MIA,RB,"$4,100",-,-
Tony,Pollard,TEN,RB,"$7,100","$7,000",+100
Saquon,Barkley,PHI,RB,"$9,000","$9,200",-200
Adam,Prentice,NO,RB,"$4,000","$4,000",0
JaMycal,Hasty,NE,RB,"$4,200","$4,200",0
Jonathan,Ward,PIT,RB,"$4,000","$4,700",-700
Trayveon,Williams,CIN,RB,"$4,100","$4,200",-100
Zack,Moss,CIN,RB,"$6,700","$6,500",+200
Jake,Funk,JAC,RB,"$4,000","$4,000",0
Darrynton,Evans,BUF,RB,"$4,000","$4,000",0
Reggie,Gilliam,BUF,RB,"$4,100","$4,200",-100
Devin,Singletary,NYG,RB,"$6,200","$6,100",+100
Mical,Perine,PIT,RB,"$4,000","$4,000",0
Brittain,Brown,SEA,RB,"$4,000","$4,000",0
Justice,Hill,BAL,RB,"$5,300","$5,500",-200
Miles,Sanders,CAR,RB,"$5,300","$5,200",+100
Josh,Jacobs,GB,RB,"$7,300","$7,600",-300
Avery,Williams,ATL,RB,"$4,000","$4,200",-200
Alexander,Mattison,LV,RB,"$6,100","$5,600",+500
Chris,Evans,CIN,RB,"$4,000","$4,000",0
Kene,Nwangwu,NYJ,RB,"$4,000","$4,000",0
David,Montgomery,DET,RB,"$8,100","$7,900",+200
Austin,Ekeler,WAS,RB,"$6,600","$5,700",+900
Patrick,Ricard,BAL,RB,"$4,200","$4,200",0
Chase,Edmonds,TB,RB,"$4,000","$4,000",0
Mohamed,Ibrahim,MIN,RB,"$4,000",-,-
Dameon,Pierce,HOU,RB,"$5,100","$4,900",+200
Xazavian,Valladay,NYJ,RB,"$4,000","$4,000",0
Trey,Sermon,IND,RB,"$5,900","$6,000",-100
Salvon,Ahmed,DEN,RB,"$4,000","$4,000",0
Jordan,Mason,SF,RB,"$8,800","$8,900",-100
Markese,Stepp,NYJ,RB,"$4,000","$4,000",0
Ty,Chandler,MIN,RB,"$6,400",-,-
Chuba,Hubbard,CAR,RB,"$7,400","$7,400",0
Gary,Brightwell,CLE,RB,"$4,000","$4,000",0
Jaret,Patterson,LAC,RB,"$4,000","$4,000",0
TaMerik,Williams,SEA,RB,"$4,000","$4,000",0
Cam,Akers,HOU,RB,"$5,000","$5,800",-800
Chase,Brown,CIN,RB,"$6,500","$5,400","+1,100"
Isaac,Guerendo,SF,RB,"$6,000","$4,800","+1,200"
Jonathan,Taylor,IND,RB,"$8,300","$8,400",-100
Spencer,Brown,ATL,RB,"$4,000","$4,000",0
Blake,Watson,DEN,RB,"$4,000","$4,000",0
Tyler,Allgeier,ATL,RB,"$5,800","$5,400",+400
Hairston,II,HOU,RB,"$4,000","$4,000",0
Kobe,Lewis,SEA,RB,"$4,000","$4,000",0
Jerome,Ford,CLE,RB,"$5,900","$6,200",-300
Najee,Harris,PIT,RB,"$7,000","$7,200",-200
Kenneth,Gainwell,PHI,RB,"$4,800","$4,900",-100
Antonio,Gibson,NE,RB,"$5,500","$5,500",0
Hassan,Haskins,LAC,RB,"$4,200","$4,100",+100
Ben,Mason,LAC,RB,"$4,000","$4,000",0
Zamir,White,LV,RB,"$5,600","$5,500",+100
James,Cook,BUF,RB,"$7,900","$8,200",-300
Deshaun,Fenwick,NE,RB,"$4,000","$4,000",0
Joshua,Kelley,TEN,RB,"$4,000","$4,000",0
Ronnie,Rivers,LAR,RB,"$4,900",-,-
Jordan,Mims,NO,RB,"$4,100","$4,000",+100
Elijah,Mitchell,SF,RB,"$4,000","$4,000",0
Keaontay,Ingram,KC,RB,"$4,000",-,-
Isiah,Pacheco,KC,RB,"$4,000",-,-
Raheem,Blackshear,CAR,RB,"$4,000","$4,000",0
Elijah,Collins,CIN,RB,"$4,000","$4,000",0
Hassan,Hall,ARI,RB,"$4,000","$4,000",0
Jack,Colletto,PIT,RB,"$4,000","$4,000",0
Jermar,Jefferson,DET,RB,"$4,000","$4,000",0
AJ,Dillon,GB,RB,"$4,000","$4,000",0
Deon,Jackson,NYJ,RB,"$4,000","$4,000",0
Michael,Carter,ARI,RB,"$4,000","$4,000",0
British,Brooks,HOU,RB,"$4,000","$4,100",-100
Javonte,Williams,DEN,RB,"$5,800","$5,900",-100
Trent,Pennix,IND,RB,"$4,000","$4,000",0
DeeJay,Dallas,ARI,RB,"$4,000","$4,000",0
Robert,Burns,ATL,RB,"$4,000","$4,000",0
Lorenzo,Lingard,NYG,RB,"$4,000","$4,000",0
Henry,Pearson,GB,RB,"$4,000","$4,000",0
Emari,Demercado,ARI,RB,"$4,800","$4,600",+200
Jarveon,Howard,GB,RB,"$4,000","$4,000",0
Deneric,Prince,MIA,RB,"$4,000",-,-
Jacob,Kibodi,NO,RB,"$4,000","$4,000",0
Jashaun,Corbin,NYG,RB,"$4,000","$4,000",0
Tyler,Badie,DEN,RB,"$4,000","$4,100",-100
Owen,Wright,BAL,RB,"$4,000","$4,000",0
