season,season_type,week,player_id,player_name,position,position_group,recent_team,mfl_id,sportradar_id,fantasypros_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,pfr_id,cfbref_id,rotowire_id,rotoworld_id,ktc_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,player_display_name,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_short_name,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_rat
2017,REG,1,00-0032392,A.Hooper,TE,TE,ATL,12677,90c2a93f-d837-4e1b-b57c-56648903a8db,15581.0,10715.0,3202.0,,3043275.0,29315.0,,2067004.0,HoopAu00,austin-hooper-1,10748.0,11301.0,384.0,29315.0,739424.0,17963.0,739424.0,Austin Hooper,austin hooper,2,2,128.0,1,0.0,0.0,45.0,83.0,2.0,11.335708,0,2.8444445,0.06666667,0.20833333,0.24583334,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0030061,Z.Ertz,TE,TE,PHI,11247,de3421f7-2147-4835-89a5-724e87bad463,11689.0,7816.0,1339.0,zachertz/2540158,15835.0,26658.0,,1685963.0,ErtzZa00,zach-ertz-1,8781.0,8409.0,305.0,26658.0,503177.0,14856.0,503177.0,Zach Ertz,zach ertz,8,8,93.0,0,0.0,0.0,78.0,15.0,6.0,7.477927,0,1.1923077,0.21052632,0.19451371,0.45194906,Zach Ertz,PHI,4.5,2.710967696925789,9.355,18.12633210618097,100.0,93.0,0.0,2.27,2.1770008992323753,0.09299910076762474,00-0030061,Zachary,Ertz,Z.Ertz,,,,,,,,,
2017,REG,1,00-0024389,De.Walker,TE,TE,TEN,8416,ccce5e8e-52ca-4f0f-a40f-fe5e7227d156,9172.0,3120.0,284.0,delaniewalker/2495966,9761.0,7924.0,4353.0,1109396.0,WalkHu00,,4888.0,3976.0,,7924.0,218943.0,7175.0,,Delanie Walker,delanie walker,7,9,76.0,0,0.0,0.0,104.0,12.0,5.0,5.525133,0,0.7307692,0.2195122,0.2795699,0.5249672,Delanie Walker,TEN,7.572500000000002,3.0971480445054085,10.901111111111113,26.669022507339353,77.77777777777779,76.0,0.0,2.358571428571428,3.0257901293372567,-0.6672187007658286,00-0024389,Delanie,Walker,D.Walker,,,,,,,,,
2017,REG,1,00-0031299,J.Matthews,TE,TE,BUF,11676,7b96a836-666b-47b6-a0a7-9dbb0b4c53e8,12124.0,8677.0,1800.0,jordanmatthews/2543500,16763.0,27570.0,,1759816.0,MattJo00,jordan-matthews-1,9273.0,9420.0,,27570.0,555648.0,15974.0,555648.0,Jordan Matthews,jordan matthews,2,3,61.0,0,0.0,0.0,56.0,42.0,2.0,5.050018,0,1.0892857,0.11111111,0.30601093,0.3808743,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0022127,J.Witten,TE,TE,DAL,6997,e38c9b1b-7c51-48a2-ac1d-a752502e8930,9275.0,1384.0,23.0,jasonwitten/2505629,4527.0,6405.0,,396134.0,WittJa00,jason-witten-1,3086.0,1990.0,,6405.0,184571.0,722.0,,Jason Witten,jason witten,7,9,59.0,1,0.0,0.0,61.0,12.0,1.0,2.5612717,0,0.9672131,0.23684211,0.2053872,0.4990342,Jason Witten,DAL,4.081999999999999,1.5526122168685002,6.372222222222222,18.549065269422343,77.77777777777779,59.0,1.0,1.7257142857142875,1.55828967550644,0.1674246102078476,00-0022127,Christopher,Witten,J.Witten,,,,,,,,,
2017,REG,1,00-0027061,J.Cook,TE,TE,LV,9474,3b7a1409-d154-4e5c-8c94-9d4a0e0993c7,9265.0,5012.0,367.0,jaredcook/71265,12537.0,9353.0,6126.0,584314.0,CookJa02,jared-cook-2,5981.0,5165.0,,9353.0,296480.0,8534.0,296480.0,Jared Cook,jared cook,5,5,56.0,0,0.0,0.0,39.0,17.0,4.0,4.378546,0,1.4358975,0.15625,0.19796954,0.37295368,Jared Cook,LV,7.837999999999999,2.8286891684978563,6.723999999999999,17.454054615304738,100.0,56.0,0.0,4.476000000000001,5.09244080420317,-0.6164408042031688,00-0027061,Jared,Cook,J.Cook,,,,,,,,,
2017,REG,1,00-0029697,C.Fleener,TE,TE,NO,10743,9102665d-a658-4264-81c3-b9810776ddf0,11220.0,7038.0,1107.0,cobyfleener/2532838,14900.0,25744.0,,1244492.0,FleeCo00,coby-fleener-1,8064.0,7418.0,,25744.0,399848.0,13997.0,,Coby Fleener,coby fleener,5,6,54.0,1,0.0,0.0,45.0,12.0,3.0,5.0050325,0,1.2,0.16216215,0.18595041,0.37340853,Coby Fleener,NO,8.100000000000001,1.6398879190733489,8.49,19.676310402101276,83.33333333333334,54.0,1.0,2.161999999999999,2.29138594669987,-0.12938594669987102,00-0029697,Jacoby,Fleener,C.Fleener,,,,,,,,,
2017,REG,1,00-0028112,C.Clay,TE,TE,BUF,10409,04ca4fb9-194e-47fe-8fc8-adb5790a8e78,10003.0,6326.0,801.0,charlesclay/2495139,14145.0,24961.0,,1265552.0,ClayCh00,charles-clay-1,7424.0,6681.0,,24961.0,400516.0,12751.0,,Charles Clay,charles clay,4,9,53.0,1,0.0,0.0,47.0,24.0,3.0,-2.9247289,0,1.1276596,0.33333334,0.2568306,0.67978144,Charles Clay,BUF,4.83125,2.648184709144717,6.58888888888889,33.299640610961376,44.44444444444444,53.0,1.0,5.827499999999999,6.177036845672319,-0.34953684567232024,00-0028112,Charles,Clay,C.Clay,,,,,,,,,
2017,REG,1,00-0031302,C.Fiedorowicz,TE,TE,HOU,11698,048ff76e-1243-4e80-bfec-7b6dee148132,12146.0,8700.0,1951.0,c.j.fiedorowicz/2543721,16766.0,27593.0,,1737104.0,FiedC.00,cj-fiedorowicz-1,9269.0,9613.0,,27593.0,553670.0,16200.0,,C.J. Fiedorowicz,cj fiedorowicz,4,4,46.0,0,0.0,0.0,31.0,15.0,4.0,1.9081013,0,1.483871,0.11111111,0.10064935,0.23712121,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0028142,V.Green,TE,TE,DEN,10432,6ef43c53-53d7-4b0f-ad99-17664d663ae8,10026.0,6356.0,868.0,virgilgreen/2495288,14085.0,24991.0,7502.0,1130615.0,GreeVi00,virgil-green-1,7416.0,6570.0,,24991.0,323254.0,13016.0,,Virgil Green,virgil green,1,1,44.0,0,0.0,0.0,25.0,19.0,1.0,3.5006564,0,1.76,0.035714287,0.12077295,0.13811249,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033881,E.Engram,TE,TE,NYG,13189,e21365af-8d66-416e-b0a5-8816d18fcfd9,16411.0,11778.0,4066.0,,3051876.0,30136.0,,2079887.0,EngrEv00,evan-engram-1,11805.0,12205.0,229.0,30136.0,749185.0,18912.0,749185.0,Evan Engram,evan engram,4,5,44.0,0,0.0,0.0,29.0,20.0,2.0,2.658935,0,1.5172414,0.13157895,0.14572865,0.29937848,Evan Engram,NYG,4.29,3.6323915829620086,6.046000000000001,15.28156910322515,80.0,44.0,0.0,4.5825,4.63908416682537,-0.056584166825370374,00-0033881,Evan,Engram,E.Engram,,,,,,,,,
2017,REG,1,00-0026201,M.Bennett,TE,TE,GB,9044,0ca741f8-58bd-4933-9d5c-0e04de3f4cff,9429.0,4375.0,40.0,martellusbennett/1062,11295.0,8838.0,,564954.0,BennMa00,martellus-bennett-1,5709.0,4639.0,,8838.0,302238.0,1181.0,,Martellus Bennett,martellus bennett,3,6,43.0,0,0.0,0.0,36.0,26.0,2.0,2.228017,0,1.1944444,0.14285715,0.12456747,0.30148295,Martellus Bennett,GB,4.948333333333333,2.8957559271954048,6.333333333333335,12.715834560299824,50.0,43.0,0.0,9.073333333333332,7.045781214351867,2.0275521189814656,00-0026201,Martellus,Bennett,M.Bennett,,,,,,,,,
2017,REG,1,00-0033080,S.DeValve,TE,TE,CLE,12792,a2451bf7-83dd-496c-b527-c14d8d518598,15671.0,10772.0,3296.0,,2566659.0,29372.0,,1984760.0,DevaSe00,,11221.0,11444.0,,29372.0,623676.0,18057.0,,Seth DeValve,seth devalve,4,5,42.0,0,0.0,0.0,35.0,28.0,2.0,2.4285452,0,1.2,0.16666667,0.0997151,0.31980056,Seth DeValve,CLE,5.550000000000001,5.668214599071149,5.757999999999998,8.568197375078121,80.0,42.0,0.0,7.342500000000001,7.465071600376376,-0.12257160037637505,00-0033080,Seth,DeValve,S.DeValve,,,,,,,,,
2017,REG,1,00-0030181,J.Doyle,TE,TE,IND,11516,bd413539-9351-454e-9d61-4e8635d7e9f5,11987.0,8520.0,1706.0,jackdoyle/2540232,16504.0,27299.0,,2041264.0,DoylJa00,,9081.0,9075.0,,27299.0,477386.0,15602.0,477386.0,Jack Doyle,jack doyle,2,3,41.0,0,0.0,0.0,31.0,24.0,2.0,1.150531,0,1.3225807,0.14285715,0.13963965,0.31203347,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032135,J.James,TE,TE,PIT,12211,a37a5bfd-b48c-4d8b-817a-d8ce7ca3592d,13959.0,9593.0,2463.0,jessejames/2552633,2979590.0,28548.0,,1983808.0,JameJe00,jesse-james-1,10150.0,10403.0,,28548.0,652019.0,16920.0,652019.0,Jesse James,jesse james,6,8,41.0,2,0.0,0.0,34.0,26.0,3.0,5.6396956,0,1.2058823,0.22222222,0.15111111,0.4391111,Jesse James,PIT,6.741666666666666,3.5014864617562345,6.145,21.520816004903036,75.0,41.0,2.0,4.693333333333333,4.829478016084522,-0.13614468275118874,00-0032135,Jesse,James,J.James,,,,,,,,,
2017,REG,1,00-0030506,T.Kelce,TE,TE,KC,11244,c3859e06-5f23-4302-a71b-04820a899d5f,11594.0,7844.0,1466.0,traviskelce/2540258,15847.0,26686.0,,1725130.0,KelcTr00,travis-kelce-1,8783.0,8411.0,264.0,26686.0,448240.0,15048.0,448240.0,Travis Kelce,travis kelce,5,7,40.0,0,0.0,0.0,50.0,23.0,2.0,-1.3914691,0,0.8,0.20588236,0.1923077,0.44343892,Travis Kelce,KC,5.3100000000000005,2.821360786906432,7.119999999999999,19.267792940812615,71.42857142857143,40.0,0.0,5.784,4.075142366004821,1.708857633995179,00-0030506,Travis,Kelce,T.Kelce,,,,,,,,,
2017,REG,1,00-0027125,Z.Miller,TE,TE,CHI,9611,338b1ed8-131f-41f4-850a-1f93534558c7,9635.0,5104.0,749.0,zachmiller/238457,12699.0,9444.0,,1674135.0,MillZa02,,6124.0,5394.0,,9444.0,245993.0,12415.0,,Zach Miller,zach miller,4,6,39.0,0,0.0,0.0,35.0,13.0,2.0,0.73316365,0,1.1142857,0.15,0.20231214,0.36661848,Zach Miller,CHI,5.946000000000001,3.6792841243393664,6.0200000000000005,17.387955519183553,66.66666666666666,39.0,0.0,2.5124999999999993,2.6075070356555585,-0.09500703565555924,00-0027125,Zachary,Miller,Z.Miller,,,,,,,,,
2017,REG,1,00-0033895,G.Everett,TE,TE,LA,13236,ebeceb00-57e0-4b74-9cf7-853da2afed18,16459.0,11799.0,4089.0,,3918639.0,30157.0,,2142692.0,EverGe00,gerald-everett-1,11737.0,12284.0,55.0,30157.0,838487.0,18935.0,838487.0,Gerald Everett,gerald everett,1,1,39.0,0,0.0,0.0,30.0,9.0,1.0,2.9262674,0,1.3,0.033333335,0.12,0.134,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0030472,J.Reed,TE,TE,WAS,11248,c3bf8d3e-3b2e-4f9e-ad74-c0a684035f17,11690.0,7866.0,1500.0,jordanreed/2540160,15860.0,26708.0,,1691412.0,ReedJo02,jordan-reed-1,8615.0,8412.0,,26708.0,508876.0,15100.0,,Jordan Reed,jordan reed,5,8,36.0,0,0.0,0.0,46.0,13.0,1.0,-0.58491784,0,0.7826087,0.2,0.123655915,0.38655913,Jordan Reed,WAS,7.635000000000001,3.704599586595548,5.706250000000001,12.343509179893466,62.5,36.0,0.0,2.638000000000001,2.610629068838898,0.027370931161102785,00-0030472,Jordan,Reed,J.Reed,,,,,,,,,
2017,REG,1,00-0031609,A.Derby,TE,TE,DEN,12351,f0805b80-e01c-46fd-99a6-dae1134fb764,14072.0,9635.0,2503.0,a.j.derby/2552580,3046413.0,28590.0,,2061203.0,DerbA.00,aj-derby-1,10484.0,10576.0,,28590.0,543797.0,16962.0,,A.J. Derby,aj derby,3,3,34.0,0,0.0,0.0,20.0,14.0,3.0,3.7172017,0,1.7,0.10714286,0.096618354,0.22834714,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032004,W.Tye,TE,TE,NYJ,12532,9ace8914-bf2c-422a-af03-62a78bc27880,14439.0,10070.0,3043.0,willtye/2553830,2512523.0,29046.0,,2175071.0,,,10700.0,11056.0,,29046.0,553297.0,17754.0,,Will Tye,will tye,3,3,34.0,0,0.0,0.0,15.0,19.0,1.0,2.60261,0,2.2666667,0.078947365,0.07772021,0.1728252,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0027656,R.Gronkowski,TE,TE,NE,9902,2142a164-48ad-47d6-bb27-0bc58c6b2e62,9721.0,5567.0,515.0,robgronkowski/497240,13229.0,24017.0,,1244303.0,GronRo00,rob-gronkowski-1,6443.0,5729.0,,24017.0,381091.0,10974.0,381091.0,Rob Gronkowski,rob gronkowski,2,6,33.0,0,0.0,0.0,113.0,4.0,2.0,2.5332696,0,0.2920354,0.16666667,0.19929454,0.38950616,Rob Gronkowski,NE,2.911666666666667,1.4178775706927595,18.875,20.85289730983815,33.33333333333333,33.0,0.0,3.8099999999999987,2.6909389136021673,1.1190610863978314,00-0027656,Robert,Gronkowski,R.Gronkowski,,,,,,,,,
2017,REG,1,00-0030422,D.Sims,TE,TE,CHI,11249,9c04a540-cb7c-41dc-8e7c-50b7af29a3a2,11691.0,7888.0,1357.0,dionsims/2540200,15974.0,26729.0,,1700507.0,SimsDi00,dion-sims-1,8784.0,8532.0,,26729.0,511525.0,14876.0,,Dion Sims,dion sims,2,3,31.0,0,0.0,0.0,4.0,20.0,2.0,2.0049875,0,7.75,0.075,0.023121387,0.12868497,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033288,G.Kittle,TE,TE,SF,13299,2ada91b0-036e-454f-83c3-6d939ff584a9,16499.0,11901.0,4217.0,,3040151.0,30259.0,,2818265.0,KittGe00,george-kittle-1,11892.0,12276.0,298.0,30259.0,733672.0,19063.0,733672.0,George Kittle,george kittle,5,6,27.0,0,0.0,0.0,22.0,17.0,1.0,-6.679084,0,1.2272727,0.17142858,0.08627451,0.317535,George Kittle,SF,4.88,2.076971437017971,3.603333333333334,8.293375273313131,83.33333333333334,27.0,0.0,3.4179999999999993,2.906738707707359,0.5112612922926401,00-0033288,George,Kittle,G.Kittle,,,,,,,,,
2017,REG,1,00-0027981,K.Rudolph,TE,TE,MIN,10312,1059e9dc-97df-4643-9116-883a0573d8b1,9906.0,6195.0,943.0,kylerudolph/2495438,14054.0,24830.0,7444.0,1633122.0,RudoKy00,kyle-rudolph-1,7246.0,6459.0,,24830.0,469472.0,13275.0,469472.0,Kyle Rudolph,kyle rudolph,3,3,26.0,1,0.0,0.0,23.0,3.0,1.0,2.7445343,0,1.1304348,0.09375,0.09623431,0.20798902,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0031690,E.Tomlinson,TE,TE,NYJ,13065,b3d7169b-9cf6-4fea-815a-26e4fb0ec16a,14339.0,9786.0,2755.0,,2511973.0,28658.0,,1759992.0,TomlEr01,,10553.0,10747.0,,28658.0,554431.0,17223.0,554431.0,Eric Tomlinson,eric tomlinson,2,2,25.0,0,0.0,0.0,20.0,5.0,1.0,1.4305707,0,1.25,0.05263158,0.103626944,0.15148623,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032117,N.O'Leary,TE,TE,BUF,12207,c257b2e6-dfc9-45c8-b30c-a497f2ce82a2,13957.0,9627.0,2495.0,,2576804.0,28582.0,,1860760.0,OLeaNi00,nick-oleary-1,10250.0,10568.0,,28582.0,605423.0,16954.0,,Nick O'Leary,nick oleary,1,2,22.0,0,0.0,0.0,18.0,15.0,1.0,1.5148867,0,1.2222222,0.074074075,0.09836066,0.17996357,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032055,D.Funchess,TE,TE,CAR,12205,7f5f2a81-ac40-420c-9421-5b9e2a21faf8,13915.0,9474.0,2346.0,,2977609.0,28429.0,,2001877.0,FuncDe00,devin-funchess-1,10138.0,10391.0,,28429.0,696127.0,16802.0,696127.0,Devin Funchess,devin funchess,2,2,20.0,0,0.0,0.0,15.0,5.0,1.0,1.6558809,0,1.3333334,0.083333336,0.06912442,0.1733871,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032227,J.Heuerman,TE,TE,DEN,12208,1fe3aadd-336b-4838-888e-8c9609747afc,13961.0,9525.0,2397.0,jeffheuerman/2552399,2576389.0,28480.0,,1824413.0,HeueJe00,jeff-heuerman-1,10246.0,10492.0,,28480.0,593517.0,16853.0,,Jeff Heuerman,jeff heuerman,1,2,20.0,0,0.0,0.0,14.0,5.0,1.0,0.72814256,0,1.4285715,0.071428575,0.06763285,0.15448585,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033885,D.Njoku,TE,TE,CLE,13192,8f86fcea-90e8-49ea-bc78-5c7659313e57,16399.0,11784.0,4033.0,,3123076.0,30142.0,,2136474.0,NjokDa00,david-njoku-1,11734.0,12186.0,252.0,30142.0,832098.0,18876.0,832098.0,David Njoku,david njoku,2,2,20.0,0,0.0,0.0,12.0,8.0,1.0,3.0329993,0,1.6666666,0.06666667,0.034188036,0.123931624,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0025418,G.Olsen,TE,TE,CAR,8687,587d0a98-7ec5-45a5-adba-8af26e8f256b,9238.0,3647.0,58.0,gregolsen/2495700,10475.0,8285.0,,502524.0,OlseGr00,greg-olsen-1,5206.0,4190.0,,8285.0,230925.0,1658.0,,Greg Olsen,greg olsen,2,4,18.0,0,0.0,0.0,40.0,0.0,1.0,-0.00026783015,0,0.45,0.16666667,0.1843318,0.37903225,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0027985,L.Kendricks,TE,TE,GB,10318,27921351-a775-4649-bd49-7b4c486d1ba2,9912.0,6199.0,964.0,lancekendricks/2495187,14007.0,24834.0,7425.0,1117803.0,KendLa00,lance-kendricks-1,7412.0,6614.0,,24834.0,332066.0,13386.0,,Lance Kendricks,lance kendricks,2,4,18.0,0,0.0,0.0,11.0,6.0,0.0,-6.0389066,0,1.6363636,0.0952381,0.038062282,0.16950074,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0031951,J.O'Shaughnessy,TE,TE,JAX,12330,e5c6b0d4-3e77-422b-a6d8-574a10ed385e,14146.0,9606.0,2476.0,,2508079.0,28561.0,,2174148.0,O'ShJa00,,10249.0,10549.0,,28561.0,552352.0,16933.0,552352.0,James O'Shaughnessy,james oshaughnessy,1,1,18.0,0,0.0,0.0,5.0,13.0,1.0,1.6161333,0,3.6,0.04761905,0.028901733,0.091659784,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0021547,A.Gates,TE,TE,LAC,7236,82da09c2-e542-4f7d-87d9-24dfd8e014de,9027.0,1609.0,322.0,antoniogates/2505299,5362.0,6663.0,,396811.0,,,3172.0,611.0,,6663.0,234249.0,7884.0,,Antonio Gates,antonio gates,2,3,17.0,0,0.0,0.0,16.0,8.0,1.0,0.3030615,0,1.0625,0.09090909,0.08080808,0.1929293,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0033110,T.Higbee,TE,TE,LA,12678,0df7912d-9e81-47ea-b4f7-d04986df4ee8,15623.0,10744.0,3271.0,,2573401.0,29344.0,,1853103.0,HigbTy00,tyler-higbee-1,10854.0,11430.0,159.0,29344.0,604176.0,18032.0,604176.0,Tyler Higbee,tyler higbee,2,3,17.0,0,0.0,0.0,22.0,5.0,1.0,1.19658,0,0.77272725,0.1,0.088,0.2116,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0027873,J.Gresham,TE,TE,ARI,9838,b44773b9-af17-4d6c-a453-132e20849712,9685.0,5546.0,530.0,jermainegresham/497238,13228.0,23996.0,,1123667.0,GresJe00,jermaine-gresham-1,6455.0,5549.0,,23996.0,333278.0,11026.0,,Jermaine Gresham,jermaine gresham,3,4,15.0,0,0.0,0.0,25.0,4.0,1.0,-0.3754959,0,0.6,0.08510638,0.059382424,0.16922727,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0030155,D.Harris,TE,TE,KC,11448,8506c15c-15cc-4d2c-aebf-270c605fe0ec,11881.0,8524.0,1619.0,demetriusharris/2541187,16318.0,27174.0,,2060074.0,HarrDe03,,9847.0,8683.0,,27174.0,602269.0,15305.0,602269.0,Demetrius Harris,demetrius harris,2,2,15.0,1,0.0,0.0,11.0,4.0,1.0,3.4713833,0,1.3636364,0.05882353,0.042307694,0.117850676,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0031598,N.Boyle,TE,TE,BAL,12328,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,13963.0,9604.0,2474.0,,2574591.0,28559.0,,1888149.0,BoylNi00,,10252.0,10547.0,,28559.0,608753.0,16931.0,608753.0,Nick Boyle,nick boyle,1,1,14.0,0,0.0,0.0,0.0,14.0,1.0,0.69925773,0,0.0,0.05882353,0.0,0.0882353,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032725,S.Anderson,TE,TE,HOU,12859,5cb0bf9c-03b4-4201-97c5-a59c6db50841,15760.0,11160.0,3496.0,,2576854.0,29789.0,,1880821.0,AndeSt01,,10885.0,11556.0,,29789.0,607660.0,18262.0,607660.0,Stephen Anderson,stephen anderson,2,5,14.0,0,0.0,0.0,35.0,11.0,1.0,-7.303632,0,0.4,0.1388889,0.11363637,0.28787878,Stephen Anderson,HOU,6.805000000000001,3.9754369148270365,8.177999999999999,12.325546345139413,40.0,14.0,0.0,5.225000000000001,6.980166940239542,-1.7551669402395405,00-0032725,Stephen,Anderson,S.Anderson,,,,,,,,,
2017,REG,1,00-0029119,D.Carrier,TE,TE,LA,10940,d3fab07b-f02a-433d-9612-cb0a751f324d,11417.0,7406.0,1718.0,derekcarrier/2534241,15403.0,26416.0,,1977121.0,CarrDe00,,9203.0,7527.0,,26416.0,654887.0,15640.0,654887.0,Derek Carrier,derek carrier,1,2,12.0,0,0.0,0.0,5.0,10.0,1.0,-0.634631,0,2.4,0.06666667,0.02,0.114,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0025549,B.Celek,TE,TE,PHI,8838,645a8bf9-2079-4df4-904a-3d8f08438b85,9070.0,3778.0,221.0,brentcelek/2507218,10605.0,8416.0,4697.0,408126.0,CeleBr00,brent-celek-1,5403.0,4269.0,,8416.0,229510.0,5511.0,,Brent Celek,brent celek,1,2,11.0,0,0.0,0.0,-1.0,13.0,1.0,0.33407363,0,0.0,0.05263158,-0.0024937657,0.07720173,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0032394,N.Vannett,TE,TE,SEA,12680,c731aa8a-778b-4ccd-a19f-517eb66f47b7,15645.0,10728.0,3258.0,,2576399.0,29328.0,,1871322.0,VannNi00,nick-vannett-1,10949.0,11329.0,,29328.0,606488.0,18019.0,606488.0,Nick Vannett,nick vannett,1,1,10.0,0,0.0,0.0,6.0,4.0,0.0,0.69995993,0,1.6666666,0.037037037,0.021582734,0.07066347,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0029587,R.Ellison,TE,TE,NYG,10838,cccc9f16-9508-434f-b7a4-9a29cb0cacf9,11315.0,7128.0,1211.0,rhettellison/2532835,15003.0,25838.0,,1244464.0,ElliRh00,rhett-ellison-1,8114.0,7580.0,,25838.0,399295.0,14445.0,,Rhett Ellison,rhett ellison,1,1,9.0,0,0.0,0.0,2.0,7.0,0.0,0.8312284,0,4.5,0.02631579,0.010050251,0.04650886,,,,,,,,,,,,,,,,,,,,,,,,,
2017,REG,1,00-0031387,E.Ebron,TE,TE,DET,11695,9fbcfae9-dd14-415c-8952-9b1b5dff0dfc,12143.0,8645.0,2118.0,ericebron/2543466,16732.0,27538.0,,1865396.0,EbroEr00,eric-ebron-1,9210.0,9390.0,,27538.0,605752.0,16451.0,605752.0,Eric Ebron,eric ebron,2,3,9.0,0,0.0,0.0,16.0,4.0,1.0,0.49289805,0,0.5625,0.07692308,0.05479452,0.15374078,,,,,,,,,,,,,,,,,,,,,,,,,
